epoch,lr,train_loss,train_acc,test_loss,test_acc,best_acc,epoch_time_s
180,0.002835,0.5861,96.37,0.6213,95.01,95.07,9.6
181,0.002574,0.5842,96.35,0.6205,95.04,95.07,9.4
182,0.002325,0.5821,96.49,0.6169,95.23,95.23,9.0
183,0.002088,0.5746,96.886,0.6161,95.21,95.23,8.7
184,0.001864,0.574,96.9,0.6144,95.19,95.23,8.8
185,0.001653,0.5711,96.958,0.6171,95.17,95.23,8.6
186,0.001453,0.5716,96.952,0.6137,95.33,95.33,8.3
187,0.001267,0.5719,96.924,0.6136,95.33,95.33,8.7
188,0.001093,0.565,97.27,0.611,95.46,95.46,9.0
189,0.000932,0.5634,97.388,0.6139,95.39,95.46,8.7
190,0.000783,0.5625,97.354,0.611,95.41,95.46,8.6
191,0.000648,0.562,97.474,0.6104,95.49,95.49,8.5
192,0.000525,0.5611,97.476,0.611,95.61,95.61,8.7
193,0.000415,0.56,97.47,0.6113,95.63,95.63,8.6
194,0.000318,0.5591,97.486,0.6108,95.4,95.63,8.4
195,0.000234,0.5581,97.584,0.6095,95.57,95.63,8.7
196,0.000162,0.5578,97.636,0.6093,95.58,95.63,8.9
197,0.000104,0.5559,97.656,0.6094,95.6,95.63,8.9
198,5.8e-05,0.5587,97.544,0.6097,95.56,95.63,8.4
199,2.6e-05,0.5581,97.546,0.6094,95.59,95.63,8.6
200,7e-06,0.5572,97.686,0.6094,95.57,95.63,8.8
