weight_quant_bits,activation_quant_bits,prune_ratio,group_size,quantized_acc,acc_drop,compression_ratio,weight_cr,activation_traffic_cr,activation_peak_cr,model_size_mb,avg_bits_per_weight,achieved_sparsity,metadata_fraction,runtime_s
8,4,0.5,64,62.75,32.87,6.4501,6.513,8.0,8.0,1.32281,4.9132,0.4823,0.067,3.7
8,6,0.0,0,95.34,0.28,4.4322,4.4401,5.3333,5.3333,1.92506,7.207,0.0,0.0317,4.1
8,6,0.0,64,95.31,0.31,4.1637,4.1668,5.3333,5.3333,2.0492,7.6798,0.0,0.0419,4.2
8,6,0.3,0,95.26,0.36,5.3232,5.3514,5.3333,5.3333,1.60284,5.9798,0.2894,0.0385,3.9
8,6,0.3,64,95.19,0.43,5.0389,5.0599,5.3333,5.3333,1.69327,6.3242,0.2894,0.0511,3.9
8,6,0.5,0,92.17,3.45,6.7708,6.8454,5.3333,5.3333,1.26016,4.6747,0.4823,0.0506,3.7
8,6,0.5,64,92.3,3.32,6.4501,6.513,5.3333,5.3333,1.32281,4.9132,0.4823,0.067,3.7
8,8,0.0,0,95.5,0.12,4.4322,4.4401,4.0,4.0,1.92506,7.207,0.0,0.0317,4.2
8,8,0.0,64,95.52,0.1,4.1637,4.1668,4.0,4.0,2.0492,7.6798,0.0,0.0419,4.2
8,8,0.3,0,95.5,0.12,5.3232,5.3514,4.0,4.0,1.60284,5.9798,0.2894,0.0385,3.9
8,8,0.3,64,95.58,0.04,5.0389,5.0599,4.0,4.0,1.69327,6.3242,0.2894,0.0511,3.9
8,8,0.5,0,92.74,2.88,6.7708,6.8454,4.0,4.0,1.26016,4.6747,0.4823,0.0506,3.7
8,8,0.5,64,92.73,2.89,6.4501,6.513,4.0,4.0,1.32281,4.9132,0.4823,0.067,3.7
